25时miku,25-ji miku
2B（尼尔：机械纪元）,2b (nier automata)
2k娘（windows 2000）,2k-tan
3.1娘（windows 3.1）,3.1-tan
35（樱巫女）（Hololive）,35p (sakura miko)
95娘（windows 95）,95-tan
98娘（windows 98）,98-tan
9a-91（少女前线）,9a-91 (girls' frontline)
9s（尼尔：机械纪元）,9s (nier automata)
友人A（Hololive）,a-chan (hololive)
A2（尼尔：机械纪元）,a2 (nier automata)
AA-12（少女前线）,aa-12 (girls' frontline)
土狼（兽娘动物园）,aardwolf (kemono friends)
安部菜菜（偶像大师灰姑娘）,abe nana
阿比盖尔·威廉姆斯（翠绿上的摇曳）（Fate）,abigail williams (emerald float) (fate)
阿比盖尔·威廉姆斯（Fate）,abigail williams (fate)
阿比盖尔·威廉姆斯（祭典装）（Fate）,abigail williams (festival outfit) (fate)
阿比盖尔·威廉姆斯（第二灵基）（Fate）,abigail williams (second ascension) (fate)
阿比盖尔·威廉姆斯（泳装外来者）（Fate）,abigail williams (swimsuit foreigner) (fate)
阿比盖尔·威廉姆斯（泳装外来者）（第一灵基）（Fate）,abigail williams (swimsuit foreigner) (first ascension) (fate)
阿比盖尔·威廉姆斯（泳装外来者）（第三灵基）（Fate）,abigail williams (swimsuit foreigner) (third ascension) (fate)
阿比盖尔·威廉姆斯（第三灵基）（Fate）,abigail williams (third ascension) (fate)
阿比盖尔·威廉姆斯（旅行装）（Fate）,abigail williams (traveling outfit) (fate)
阿武隈（舰队Collection）,abukuma (kancolle)
阿武隈改二（舰队Collection）,abukuma kai ni (kancolle)
一方通行（魔法禁书目录）,accelerator (toaru majutsu no index)
阿塞萝拉（宝可梦）,acerola (pokemon)
黄泉（崩坏：星穹铁道）,acheron (honkai  star rail)
艾达·王,ada wong
足立梨花,adachi rei
足立咲,adachi sakura
战斗修女（战锤）,adepta sororitas
星际战士（战锤）,adeptus astartes
提督（舰队Collection）,admiral (kancolle)
施佩伯爵海军上将（碧蓝航线）,admiral graf spee (azur lane)
希佩尔海军上将（碧蓝航线）,admiral hipper (azur lane)
爱慕织女（赛马娘）,admire vega (umamusume)
